what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1297146794404
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297146794780
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297146795250
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1297146802100
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297146804180
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297146807227
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1297146831094
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1297146863076
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1297146867486
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297146867872
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297146868417
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297146870960
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297146872537
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1297146875251
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297146878908
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297146895987
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147197331
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297147210671
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147211568
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1297147214230
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297147221071
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147237386
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1297147238460
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147238851
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147239341
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147246018
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147253652
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297147256333
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147261953
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1297147263037
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147263442
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147264346
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297147265915
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147266793
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1297147267741
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147268146
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147268632
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147273945
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147274088
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297147279773
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147282555
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1297147284992
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297147289442
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147290341
error,log,,,"Error logged from Debug Core: ",1297147293024
error,log,,,"Error logged from Debug Core: ",1297147295800
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297147308194
opened,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1297147315927
activated,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1297147316048
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147322552
closed,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1297147322552
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297147324657
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147331794
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147459362
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147460503
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147473589
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147540494
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297147540528
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147542244
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1297147607207
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147607224
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1297147616083
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1297147619916
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147622489
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1297147623843
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147624244
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147624853
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297147626821
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147628358
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147628465
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1297147636621
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1297147638539
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147638909
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147639547
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147641496
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147679010
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147693529
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147751895
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297147751996
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1297147772630
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1297147783956
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297147786133
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1297147792641
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147792915
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147794425
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1297147794626
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1297147794626
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147794662
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147796102
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1297147797150
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147797542
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147798119
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147799731
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147811615
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147811754
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147819635
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147819635
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297147820567
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147821847
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147821950
error,log,,,"Error logged from Debug Core: ",1297147824515
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147826569
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147828394
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147830129
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147830547
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147846764
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1297147848529
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1297147850047
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147850444
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147851001
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147852213
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147856455
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1297147856498
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147857533
error,log,,,"Error logged from Debug Core: ",1297147860039
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147860868
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147869410
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297147869493
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147870823
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1297147873435
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1297147873808
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147874208
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147874829
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147910667
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147911661
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1297147912315
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147913108
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1297147920740
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1297147927418
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1297147928990
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147930744
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1297147933521
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147933883
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147934763
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147935590
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1297147936249
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147936608
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147937142
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147939385
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147940632
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147944226
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297147944361
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147945495
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147948870
error,log,,,"Error logged from Debug Core: ",1297147949207
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297147949935
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297149026732
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297149026813
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297149027730
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1297149032839
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297149034535
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297149035499
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297149037207
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297149037891
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297149038945
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297149083129
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1297149084549
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297149088455
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297149096962
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297186145799
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297186180524
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297186211035
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297186211328
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297186217474
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297186242692
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297186288670
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297186296339
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297186340906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297186346210
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297186360492
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297186360746
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297186360861
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1297186363624
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1297186369401
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297186371169
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297186375072
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1297186381206
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297186381227
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297186383167
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297186442723
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297186445198
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1297186445978
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297186446324
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297186447846
